BIN_FCSKU_DATA,EXPECTED_QUANTITY,filename
"{'B000C33MI2': {'asin': 'B000C33MI2', 'height': {'unit': 'IN', 'value': 2.79921259557}, 'length': {'unit': 'IN', 'value': 3.90157479917}, 'name': 'FRAM XG7317 ULTRA Spin-On Oil Filter with Sure Grip', 'normalizedName': 'FRAM XG7317 ULTRA Spin-On Oil Filter with Sure Grip', 'quantity': 4, 'weight': {'unit': 'pounds', 'value': 0.3000050461296}, 'width': {'unit': 'IN', 'value': 2.90157480019}}, 'B0050Z27KG': {'asin': 'B0050Z27KG', 'height': {'unit': 'IN', 'value': 0.899999999082}, 'length': {'unit': 'IN', 'value': 11.299999988474}, 'name': 'Suncatcher - Axicon Rainbow Window - Includes Bonus ""Rainbow on Board"" Sun Catcher', 'normalizedName': 'Suncatcher - Axicon Rainbow Window - Includes Bonus ""Rainbow on Board"" Sun Catcher', 'quantity': 2, 'weight': {'unit': 'pounds', 'value': 0.5}, 'width': {'unit': 'IN', 'value': 7.699999992146}}, 'B01BV89HNU': {'asin': 'B01BV89HNU', 'height': {'unit': 'IN', 'value': 2.1999999977560005}, 'length': {'unit': 'IN', 'value': 3.99999999592}, 'name': 'Type C, iOrange-E 2 Pack 6.6 Ft Braided Cable for Nexus 6P, Nexus 5X, Onplus 2, Lumia 950, LG G5, Apple Macbook 12 inch, ChromeBook Pixel, Nokia N1 Tablet and Other USB C Devices, Black', 'normalizedName': '2 Pack Type C, iOrange-E 6.6 Ft Braided Cable for Nexus 6P, Nexus 5X, Onplus 2, Lumia 950, LG G5, Apple Macbook 12 inch, ChromeBook Pixel, Nokia N1 Tablet and Other USB C Devices, Black', 'quantity': 6, 'weight': {'unit': 'pounds', 'value': 0.3499999997064932}, 'width': {'unit': 'IN', 'value': 3.899999996022}}}",12,00001.jpg
"{'0307981584': {'asin': '0307981584', 'height': {'unit': 'IN', 'value': 0.399999999592}, 'length': {'unit': 'IN', 'value': 7.899999991942001}, 'name': 'Thomas Saves Easter! (Thomas & Friends) (Glitter Board Book)', 'normalizedName': 'Thomas Saves Easter! (Thomas & Friends) (Glitter Board Book)', 'quantity': 13, 'weight': {'unit': 'pounds', 'value': 0.4}, 'width': {'unit': 'IN', 'value': 6.899999992962}}, 'B000052XHI': {'asin': 'B000052XHI', 'height': {'unit': 'IN', 'value': 1.599999998368}, 'length': {'unit': 'IN', 'value': 7.799999992044}, 'name': 'First Response Early Result Pregnancy Test, 3 tests, Packaging May Vary', 'normalizedName': 'First Response Early Result Pregnancy Test, 3 tests, Packaging May Vary', 'quantity': 2, 'weight': {'unit': 'pounds', 'value': 0.022046001167587297}, 'width': {'unit': 'IN', 'value': 3.299999996634}}, 'B00GHT7T16': {'asin': 'B00GHT7T16', 'height': {'unit': 'IN', 'value': 2.49999999745}, 'length': {'unit': 'IN', 'value': 3.599999996328}, 'name': 'DORMAN 911-614 Power Steering Air Control Valve', 'normalizedName': 'DORMAN 911-614 Power Steering Air Control Valve', 'quantity': 2, 'weight': {'unit': 'pounds', 'value': 0.20000000000000004}, 'width': {'unit': 'IN', 'value': 2.49999999745}}}",17,00002.jpg
"{'0307981584': {'asin': '0307981584', 'height': {'unit': 'IN', 'value': 0.399999999592}, 'length': {'unit': 'IN', 'value': 7.899999991942001}, 'name': 'Thomas Saves Easter! (Thomas & Friends) (Glitter Board Book)', 'normalizedName': 'Thomas Saves Easter! (Thomas & Friends) (Glitter Board Book)', 'quantity': 13, 'weight': {'unit': 'pounds', 'value': 0.4}, 'width': {'unit': 'IN', 'value': 6.899999992962}}, 'B000052XHI': {'asin': 'B000052XHI', 'height': {'unit': 'IN', 'value': 1.599999998368}, 'length': {'unit': 'IN', 'value': 7.799999992044}, 'name': 'First Response Early Result Pregnancy Test, 3 tests, Packaging May Vary', 'normalizedName': 'First Response Early Result Pregnancy Test, 3 tests, Packaging May Vary', 'quantity': 2, 'weight': {'unit': 'pounds', 'value': 0.022046001167587297}, 'width': {'unit': 'IN', 'value': 3.299999996634}}, 'B00GHT7T16': {'asin': 'B00GHT7T16', 'height': {'unit': 'IN', 'value': 2.49999999745}, 'length': {'unit': 'IN', 'value': 3.599999996328}, 'name': 'DORMAN 911-614 Power Steering Air Control Valve', 'normalizedName': 'DORMAN 911-614 Power Steering Air Control Valve', 'quantity': 1, 'weight': {'unit': 'pounds', 'value': 0.20000000000000004}, 'width': {'unit': 'IN', 'value': 2.49999999745}}}",16,00003.jpg
"{'B003E72M1G': {'asin': 'B003E72M1G', 'height': {'unit': 'IN', 'value': 1.199999998776}, 'length': {'unit': 'IN', 'value': 5.099999994798}, 'name': 'Buxton Heiress Double Cardex Wallet, Mahogany, One Size', 'normalizedName': 'Buxton Heiress Double Cardex Wallet, Mahogany, One Size', 'quantity': 3, 'weight': {'unit': 'pounds', 'value': 0.4}, 'width': {'unit': 'IN', 'value': 4.399999995512001}}, 'B00CLCIQDI': {'asin': 'B00CLCIQDI', 'height': {'unit': 'IN', 'value': 2.299999997654}, 'length': {'unit': 'IN', 'value': 4.799999995104}, 'name': 'Renew Life Daily Liver Support, 60 Veggie Capsules', 'normalizedName': 'Renew Life Daily Liver Support, 60 Veggie Capsules', 'quantity': 1, 'weight': {'unit': 'pounds', 'value': 0.022046001186074866}, 'width': {'unit': 'IN', 'value': 2.49999999745}}, 'B00H47IY4G': {'asin': 'B00H47IY4G', 'height': {'unit': 'IN', 'value': 0.58267716476}, 'length': {'unit': 'IN', 'value': 7.09842518961}, 'name': 'Android Cop [Blu-ray]', 'normalizedName': 'Android Cop [Blu-ray]', 'quantity': 1, 'weight': {'unit': 'pounds', 'value': 0.18333454586339856}, 'width': {'unit': 'IN', 'value': 5.41732282912}}}",5,00004.jpg
"{'B003E72M1G': {'asin': 'B003E72M1G', 'height': {'unit': 'IN', 'value': 1.199999998776}, 'length': {'unit': 'IN', 'value': 5.099999994798}, 'name': 'Buxton Heiress Double Cardex Wallet, Mahogany, One Size', 'normalizedName': 'Buxton Heiress Double Cardex Wallet, Mahogany, One Size', 'quantity': 3, 'weight': {'unit': 'pounds', 'value': 0.4}, 'width': {'unit': 'IN', 'value': 4.399999995512001}}, 'B00H47IY4G': {'asin': 'B00H47IY4G', 'height': {'unit': 'IN', 'value': 0.58267716476}, 'length': {'unit': 'IN', 'value': 7.09842518961}, 'name': 'Android Cop [Blu-ray]', 'normalizedName': 'Android Cop [Blu-ray]', 'quantity': 1, 'weight': {'unit': 'pounds', 'value': 0.18333454586339856}, 'width': {'unit': 'IN', 'value': 5.41732282912}}}",4,00005.jpg
"{'B00NFZYM5Q': {'asin': 'B00NFZYM5Q', 'height': {'unit': 'IN', 'value': 2.7999999971439995}, 'length': {'unit': 'IN', 'value': 8.699999991126}, 'name': 'Sunkist Fruit Gems (2 lb. bag)', 'normalizedName': 'Sunkist Fruit Gems (2 lb. bag)', 'quantity': 1, 'weight': {'unit': 'pounds', 'value': 2.15}, 'width': {'unit': 'IN', 'value': 8.599999991228}}, 'B01D8030L4': {'asin': 'B01D8030L4', 'height': {'unit': 'IN', 'value': 2.099999997858}, 'length': {'unit': 'IN', 'value': 6.299999993574}, 'name': 'Enhance Me Love and Hearts Bath Bombs, Handmade with Organic Palm Oil, Rich Shea Butter and Coconut Oil 6 Spa Bomb Gift Set', 'normalizedName': 'Enhance Me Love and Hearts Bath Bombs, Handmade with Organic Palm Oil, Rich Shea Butter and Coconut Oil 6 Spa Bomb Gift Set', 'quantity': 4, 'weight': {'unit': 'pounds', 'value': 0.7499999993710571}, 'width': {'unit': 'IN', 'value': 6.199999993676}}}",5,00006.jpg
"{'B01D8030L4': {'asin': 'B01D8030L4', 'height': {'unit': 'IN', 'value': 2.099999997858}, 'length': {'unit': 'IN', 'value': 6.299999993574}, 'name': 'Enhance Me Love and Hearts Bath Bombs, Handmade with Organic Palm Oil, Rich Shea Butter and Coconut Oil 6 Spa Bomb Gift Set', 'normalizedName': 'Enhance Me Love and Hearts Bath Bombs, Handmade with Organic Palm Oil, Rich Shea Butter and Coconut Oil 6 Spa Bomb Gift Set', 'quantity': 4, 'weight': {'unit': 'pounds', 'value': 0.7499999993710571}, 'width': {'unit': 'IN', 'value': 6.199999993676}}}",4,00007.jpg
"{'B002UC6P6E': {'asin': 'B002UC6P6E', 'height': {'unit': 'IN', 'value': 1.199999998776}, 'length': {'unit': 'IN', 'value': 7.099999992758}, 'name': 'JR Products 10845 White Fold Down Camper Latch and Catch', 'normalizedName': 'JR Products 10845 White Fold Down Camper Latch and Catch', 'quantity': 1, 'weight': {'unit': 'pounds', 'value': 0.65}, 'width': {'unit': 'IN', 'value': 3.299999996634}}, 'B017TQ9IWS': {'asin': 'B017TQ9IWS', 'height': {'unit': 'IN', 'value': 0.899999999082}, 'length': {'unit': 'IN', 'value': 4.199999995716}, 'name': 'Manicure Kit - 3 Pcs - Ultimate Personal Care Set With Nail Scissors Pocket Size - Perfect for Travel or for Gift - Black', 'normalizedName': 'Manicure Kit - 3 Pcs - Ultimate Personal Care Set With Nail Scissors Pocket Size - Perfect for Travel or for Gift - Black', 'quantity': 18, 'weight': {'unit': 'pounds', 'value': 0.14999999987421142}, 'width': {'unit': 'IN', 'value': 2.49999999745}}}",19,00008.jpg
"{'B015TC63LI': {'asin': 'B015TC63LI', 'height': {'unit': 'IN', 'value': 3.49999999643}, 'length': {'unit': 'IN', 'value': 6.799999993064}, 'name': 'My Little Pony POP and Starter Kits', 'normalizedName': 'My Little Pony POP and Starter Kits', 'quantity': 1, 'weight': {'unit': 'pounds', 'value': 0.7499999993710571}, 'width': {'unit': 'IN', 'value': 6.099999993778}}}",1,00009.jpg
"{'B00ZS4HK0Q': {'asin': 'B00ZS4HK0Q', 'height': {'unit': 'IN', 'value': 2.7999999971439995}, 'length': {'unit': 'IN', 'value': 12.299999987454}, 'name': 'ASUS Chromebook Flip 10.1-Inch Convertible 2 in 1 Touchscreen (Rockchip, 4 GB, 16GB SSD, Silver)', 'normalizedName': 'ASUS Chromebook Flip 10.1-Inch Convertible 2 in 1 Touchscreen (Rockchip, 4 GB, 16GB SSD, Silver)', 'quantity': 3, 'weight': {'unit': 'pounds', 'value': 2.199999998155101}, 'width': {'unit': 'IN', 'value': 8.99999999082}}, 'B015TC63LI': {'asin': 'B015TC63LI', 'height': {'unit': 'IN', 'value': 3.49999999643}, 'length': {'unit': 'IN', 'value': 6.799999993064}, 'name': 'My Little Pony POP and Starter Kits', 'normalizedName': 'My Little Pony POP and Starter Kits', 'quantity': 1, 'weight': {'unit': 'pounds', 'value': 0.7499999993710571}, 'width': {'unit': 'IN', 'value': 6.099999993778}}}",4,00010.jpg
