BIN_FCSKU_DATA,EXPECTED_QUANTITY,filename,asin
"{'0307981584': {'asin': '0307981584', 'height': {'unit': 'IN', 'value': 0.399999999592}, 'length': {'unit': 'IN', 'value': 7.899999991942001}, 'name': 'Thomas Saves Easter! (Thomas & Friends) (Glitter Board Book)', 'normalizedName': 'Thomas Saves Easter! (Thomas & Friends) (Glitter Board Book)', 'quantity': 13, 'weight': {'unit': 'pounds', 'value': 0.4}, 'width': {'unit': 'IN', 'value': 6.899999992962}}, 'B000052XHI': {'asin': 'B000052XHI', 'height': {'unit': 'IN', 'value': 1.599999998368}, 'length': {'unit': 'IN', 'value': 7.799999992044}, 'name': 'First Response Early Result Pregnancy Test, 3 tests, Packaging May Vary', 'normalizedName': 'First Response Early Result Pregnancy Test, 3 tests, Packaging May Vary', 'quantity': 2, 'weight': {'unit': 'pounds', 'value': 0.022046001167587297}, 'width': {'unit': 'IN', 'value': 3.299999996634}}, 'B00GHT7T16': {'asin': 'B00GHT7T16', 'height': {'unit': 'IN', 'value': 2.49999999745}, 'length': {'unit': 'IN', 'value': 3.599999996328}, 'name': 'DORMAN 911-614 Power Steering Air Control Valve', 'normalizedName': 'DORMAN 911-614 Power Steering Air Control Valve', 'quantity': 2, 'weight': {'unit': 'pounds', 'value': 0.20000000000000004}, 'width': {'unit': 'IN', 'value': 2.49999999745}}}",17,00002.jpg,0307981584
"{'0307981584': {'asin': '0307981584', 'height': {'unit': 'IN', 'value': 0.399999999592}, 'length': {'unit': 'IN', 'value': 7.899999991942001}, 'name': 'Thomas Saves Easter! (Thomas & Friends) (Glitter Board Book)', 'normalizedName': 'Thomas Saves Easter! (Thomas & Friends) (Glitter Board Book)', 'quantity': 13, 'weight': {'unit': 'pounds', 'value': 0.4}, 'width': {'unit': 'IN', 'value': 6.899999992962}}, 'B000052XHI': {'asin': 'B000052XHI', 'height': {'unit': 'IN', 'value': 1.599999998368}, 'length': {'unit': 'IN', 'value': 7.799999992044}, 'name': 'First Response Early Result Pregnancy Test, 3 tests, Packaging May Vary', 'normalizedName': 'First Response Early Result Pregnancy Test, 3 tests, Packaging May Vary', 'quantity': 2, 'weight': {'unit': 'pounds', 'value': 0.022046001167587297}, 'width': {'unit': 'IN', 'value': 3.299999996634}}, 'B00GHT7T16': {'asin': 'B00GHT7T16', 'height': {'unit': 'IN', 'value': 2.49999999745}, 'length': {'unit': 'IN', 'value': 3.599999996328}, 'name': 'DORMAN 911-614 Power Steering Air Control Valve', 'normalizedName': 'DORMAN 911-614 Power Steering Air Control Valve', 'quantity': 1, 'weight': {'unit': 'pounds', 'value': 0.20000000000000004}, 'width': {'unit': 'IN', 'value': 2.49999999745}}}",16,00003.jpg,0307981584
"{'B003E72M1G': {'asin': 'B003E72M1G', 'height': {'unit': 'IN', 'value': 1.199999998776}, 'length': {'unit': 'IN', 'value': 5.099999994798}, 'name': 'Buxton Heiress Double Cardex Wallet, Mahogany, One Size', 'normalizedName': 'Buxton Heiress Double Cardex Wallet, Mahogany, One Size', 'quantity': 3, 'weight': {'unit': 'pounds', 'value': 0.4}, 'width': {'unit': 'IN', 'value': 4.399999995512001}}, 'B00CLCIQDI': {'asin': 'B00CLCIQDI', 'height': {'unit': 'IN', 'value': 2.299999997654}, 'length': {'unit': 'IN', 'value': 4.799999995104}, 'name': 'Renew Life Daily Liver Support, 60 Veggie Capsules', 'normalizedName': 'Renew Life Daily Liver Support, 60 Veggie Capsules', 'quantity': 1, 'weight': {'unit': 'pounds', 'value': 0.022046001186074866}, 'width': {'unit': 'IN', 'value': 2.49999999745}}, 'B00H47IY4G': {'asin': 'B00H47IY4G', 'height': {'unit': 'IN', 'value': 0.58267716476}, 'length': {'unit': 'IN', 'value': 7.09842518961}, 'name': 'Android Cop [Blu-ray]', 'normalizedName': 'Android Cop [Blu-ray]', 'quantity': 1, 'weight': {'unit': 'pounds', 'value': 0.18333454586339856}, 'width': {'unit': 'IN', 'value': 5.41732282912}}}",5,00004.jpg,B003E72M1G
"{'B003E72M1G': {'asin': 'B003E72M1G', 'height': {'unit': 'IN', 'value': 1.199999998776}, 'length': {'unit': 'IN', 'value': 5.099999994798}, 'name': 'Buxton Heiress Double Cardex Wallet, Mahogany, One Size', 'normalizedName': 'Buxton Heiress Double Cardex Wallet, Mahogany, One Size', 'quantity': 3, 'weight': {'unit': 'pounds', 'value': 0.4}, 'width': {'unit': 'IN', 'value': 4.399999995512001}}, 'B00H47IY4G': {'asin': 'B00H47IY4G', 'height': {'unit': 'IN', 'value': 0.58267716476}, 'length': {'unit': 'IN', 'value': 7.09842518961}, 'name': 'Android Cop [Blu-ray]', 'normalizedName': 'Android Cop [Blu-ray]', 'quantity': 1, 'weight': {'unit': 'pounds', 'value': 0.18333454586339856}, 'width': {'unit': 'IN', 'value': 5.41732282912}}}",4,00005.jpg,B003E72M1G
"{'B0033UNIQC': {'asin': 'B0033UNIQC', 'height': {'unit': 'IN', 'value': 0.6999999992859999}, 'length': {'unit': 'IN', 'value': 10.49999998929}, 'name': 'Fiskars 8 Inch Premier Softgrip Titanium Straight Scissors (01-004244J)', 'normalizedName': 'Fiskars 8 Inch Premier Softgrip Titanium Straight Scissors (01-004244J)', 'quantity': 14, 'weight': {'unit': 'pounds', 'value': 0.20000000000000004}, 'width': {'unit': 'IN', 'value': 3.99999999592}}, 'B00E9J3MLM': {'asin': 'B00E9J3MLM', 'height': {'unit': 'IN', 'value': 7.299999992554}, 'length': {'unit': 'IN', 'value': 8.799999991024002}, 'name': 'Kitchen Safe: Time Locking Container (White Lid + Clear Base) - 5.5"" Height', 'normalizedName': 'Kitchen Safe: Time Locking Container (White Lid + Clear Base) - 5.5"" Height', 'quantity': 1, 'weight': {'unit': 'pounds', 'value': 2.3500000000000005}, 'width': {'unit': 'IN', 'value': 7.699999992146}}}",15,00015.jpg,B0033UNIQC
"{'B0033UNIQC': {'asin': 'B0033UNIQC', 'height': {'unit': 'IN', 'value': 0.6999999992859999}, 'length': {'unit': 'IN', 'value': 10.49999998929}, 'name': 'Fiskars 8 Inch Premier Softgrip Titanium Straight Scissors (01-004244J)', 'normalizedName': 'Fiskars 8 Inch Premier Softgrip Titanium Straight Scissors (01-004244J)', 'quantity': 11, 'weight': {'unit': 'pounds', 'value': 0.20000000000000004}, 'width': {'unit': 'IN', 'value': 3.99999999592}}, 'B00E9J3MLM': {'asin': 'B00E9J3MLM', 'height': {'unit': 'IN', 'value': 7.299999992554}, 'length': {'unit': 'IN', 'value': 8.799999991024002}, 'name': 'Kitchen Safe: Time Locking Container (White Lid + Clear Base) - 5.5"" Height', 'normalizedName': 'Kitchen Safe: Time Locking Container (White Lid + Clear Base) - 5.5"" Height', 'quantity': 1, 'weight': {'unit': 'pounds', 'value': 2.3500000000000005}, 'width': {'unit': 'IN', 'value': 7.699999992146}}}",12,00016.jpg,B0033UNIQC
"{'B0033UNIQC': {'asin': 'B0033UNIQC', 'height': {'unit': 'IN', 'value': 0.6999999992859999}, 'length': {'unit': 'IN', 'value': 10.49999998929}, 'name': 'Fiskars 8 Inch Premier Softgrip Titanium Straight Scissors (01-004244J)', 'normalizedName': 'Fiskars 8 Inch Premier Softgrip Titanium Straight Scissors (01-004244J)', 'quantity': 9, 'weight': {'unit': 'pounds', 'value': 0.20000000000000004}, 'width': {'unit': 'IN', 'value': 3.99999999592}}, 'B00E9J3MLM': {'asin': 'B00E9J3MLM', 'height': {'unit': 'IN', 'value': 7.299999992554}, 'length': {'unit': 'IN', 'value': 8.799999991024002}, 'name': 'Kitchen Safe: Time Locking Container (White Lid + Clear Base) - 5.5"" Height', 'normalizedName': 'Kitchen Safe: Time Locking Container (White Lid + Clear Base) - 5.5"" Height', 'quantity': 1, 'weight': {'unit': 'pounds', 'value': 2.3500000000000005}, 'width': {'unit': 'IN', 'value': 7.699999992146}}}",10,00017.jpg,B0033UNIQC
"{'B00JD5453G': {'asin': 'B00JD5453G', 'height': {'unit': 'IN', 'value': 1.599999998368}, 'length': {'unit': 'IN', 'value': 14.699999985006}, 'name': 'TORCHSTAR 14-Inch 110V Hardwired Multi-function LED Cabinet Light, Warm White', 'normalizedName': 'TORCHSTAR 14-Inch 110V Hardwired Multi-function LED Cabinet Light, Warm White', 'quantity': 12, 'weight': {'unit': 'pounds', 'value': 1.0}, 'width': {'unit': 'IN', 'value': 3.99999999592}}, 'B00O35DRI0': {'asin': 'B00O35DRI0', 'height': {'unit': 'IN', 'value': 3.49999999643}, 'length': {'unit': 'IN', 'value': 10.49999998929}, 'name': 'Mellanni Bed Sheet Set - HIGHEST QUALITY Brushed Microfiber 1800 Bedding - Wrinkle, Fade, Stain Resistant - Hypoallergenic - 4 Piece (Cal King, Mocha)', 'normalizedName': 'Mellanni Bed Sheet Set - HIGHEST QUALITY Brushed Microfiber 1800 Bedding - Wrinkle, Fade, Stain Resistant - Hypoallergenic - 4 Piece (Cal King, Mocha)', 'quantity': 1, 'weight': {'unit': 'pounds', 'value': 3.4}, 'width': {'unit': 'IN', 'value': 9.799999990004002}}, 'B014ED82A8': {'asin': 'B014ED82A8', 'height': {'unit': 'IN', 'value': 2.8346456664}, 'length': {'unit': 'IN', 'value': 8.3464566844}, 'name': '(2 Pack) Pantene Pro-V Shampoo, Damage Detox with Mosa Mint Oil, 12.6 Oz. ea.', 'normalizedName': '(2 Pack)  Pantene Pro-V Shampoo, Damage Detox with Mosa Mint Oil, 12.6 Oz. ea.', 'quantity': 1, 'weight': {'unit': 'pounds', 'value': 1.949999998364748}, 'width': {'unit': 'IN', 'value': 3.7795275552}}}",14,00020.jpg,B00JD5453G
"{'B00JD5453G': {'asin': 'B00JD5453G', 'height': {'unit': 'IN', 'value': 1.599999998368}, 'length': {'unit': 'IN', 'value': 14.699999985006}, 'name': 'TORCHSTAR 14-Inch 110V Hardwired Multi-function LED Cabinet Light, Warm White', 'normalizedName': 'TORCHSTAR 14-Inch 110V Hardwired Multi-function LED Cabinet Light, Warm White', 'quantity': 12, 'weight': {'unit': 'pounds', 'value': 1.0}, 'width': {'unit': 'IN', 'value': 3.99999999592}}, 'B00O35DRI0': {'asin': 'B00O35DRI0', 'height': {'unit': 'IN', 'value': 3.49999999643}, 'length': {'unit': 'IN', 'value': 10.49999998929}, 'name': 'Mellanni Bed Sheet Set - HIGHEST QUALITY Brushed Microfiber 1800 Bedding - Wrinkle, Fade, Stain Resistant - Hypoallergenic - 4 Piece (Cal King, Mocha)', 'normalizedName': 'Mellanni Bed Sheet Set - HIGHEST QUALITY Brushed Microfiber 1800 Bedding - Wrinkle, Fade, Stain Resistant - Hypoallergenic - 4 Piece (Cal King, Mocha)', 'quantity': 1, 'weight': {'unit': 'pounds', 'value': 3.4}, 'width': {'unit': 'IN', 'value': 9.799999990004002}}, 'B00T63MY1U': {'asin': 'B00T63MY1U', 'height': {'unit': 'IN', 'value': 0.6999999992859999}, 'length': {'unit': 'IN', 'value': 12.99999998674}, 'name': 'Choopie CityGrips Single Bar Grip Handle Covers for Stroller/Pram/Buggy Handlebars, Silly Raccoon, Large', 'normalizedName': 'Choopie CityGrips Single Bar Grip Handle Covers for Stroller/Pram/Buggy Handlebars, Silly Raccoon, Large', 'quantity': 1, 'weight': {'unit': 'pounds', 'value': 0.022046001186074866}, 'width': {'unit': 'IN', 'value': 6.299999993574}}, 'B014ED82A8': {'asin': 'B014ED82A8', 'height': {'unit': 'IN', 'value': 2.8346456664}, 'length': {'unit': 'IN', 'value': 8.3464566844}, 'name': '(2 Pack) Pantene Pro-V Shampoo, Damage Detox with Mosa Mint Oil, 12.6 Oz. ea.', 'normalizedName': '(2 Pack)  Pantene Pro-V Shampoo, Damage Detox with Mosa Mint Oil, 12.6 Oz. ea.', 'quantity': 1, 'weight': {'unit': 'pounds', 'value': 1.949999998364748}, 'width': {'unit': 'IN', 'value': 3.7795275552}}}",15,00021.jpg,B00JD5453G
"{'B00F908YU4': {'asin': 'B00F908YU4', 'height': {'unit': 'IN', 'value': 3.99999999592}, 'length': {'unit': 'IN', 'value': 5.799999994084}, 'name': '12Watt 4-inch High CRI Wet Location Dimmable Retrofit LED Recessed Lighting Fixture, Energy Star UL-classified 75W Equivalent Ceiling Light, 2700K Soft White 650lm Remodel Recessed Downlight', 'normalizedName': '12Watt 4-inch High CRI Wet Location Dimmable Retrofit LED Recessed Lighting Fixture, Energy Star UL-classified 75W Equivalent Ceiling Light, 2700K Soft White 650lm Remodel Recessed Downlight', 'quantity': 1, 'weight': {'unit': 'pounds', 'value': 0.6999999999999998}, 'width': {'unit': 'IN', 'value': 5.699999994186001}}, 'B00FMHPX62': {'asin': 'B00FMHPX62', 'height': {'unit': 'IN', 'value': 0.599999999388}, 'length': {'unit': 'IN', 'value': 6.099999993778}, 'name': 'DEWALT DWA4214 Oscillating Multi-Material Blade', 'normalizedName': 'DEWALT DWA4214 Oscillating Multi-Material Blade', 'quantity': 1, 'weight': {'unit': 'pounds', 'value': 0.15}, 'width': {'unit': 'IN', 'value': 4.599999995308}}, 'B016CMFESW': {'asin': 'B016CMFESW', 'height': {'unit': 'IN', 'value': 0.99999999898}, 'length': {'unit': 'IN', 'value': 5.299999994594}, 'name': '2""/5cm Assorted Colors D Shape Spring-loaded Gate Aluminum Carabiner for Home, Rv, Camping, Fishing, Hiking, Traveling and Keychain', 'normalizedName': '2""/5cm Assorted Colors D Shape Spring-loaded Gate Aluminum Carabiner for Home, Rv, Camping, Fishing, Hiking, Traveling and Keychain', 'quantity': 1, 'weight': {'unit': 'pounds', 'value': 0.39999999966456384}, 'width': {'unit': 'IN', 'value': 3.99999999592}}}",3,00037.jpg,B00F908YU4
