filename,asin,quantity
00798.jpg,B01AVF6UO8,2
00079.jpg,B00PAXDQVM,1
00556.jpg,B004PT19BQ,3
00463.jpg,B00EMS3ZSU,1
00713.jpg,B00IP27DFA,3
00643.jpg,B01BNJL3KC,1
00390.jpg,B01ARGBRGW,1
00805.jpg,B00GHYKQU2,1
00118.jpg,B01E670AOS,1
00441.jpg,B00772BNB4,3
00687.jpg,B013UJS35G,1
00440.jpg,B00772BNB4,3
00093.jpg,B01ESRWRUG,5
00446.jpg,B000RI6C7K,5
00119.jpg,B004Q0PN0W,3
00299.jpg,B00EPD6UFM,1
00807.jpg,B00GHYKQU2,1
00447.jpg,B000RI6C7K,3
00166.jpg,B01D2OY3ZI,2
00465.jpg,B01D8RFMOK,1
00554.jpg,B004PT19BQ,3
00094.jpg,B001MKR4Y2,1
00796.jpg,B01AVF6UO8,2
00093.jpg,B001MKR4Y2,1
00643.jpg,B00ED3GU1I,3
00441.jpg,B00RRV14BE,1
00440.jpg,B001L1RFPU,1
00174.jpg,B0016AZGM0,1
00388.jpg,B00RTC23FM,1
00304.jpg,B000KI8HKC,1
00305.jpg,B002GALZCY,1
00555.jpg,B00RDUWO6I,2
00347.jpg,B013UJS35G,1
00079.jpg,B0073E3Q7A,7
00164.jpg,B01D2OY3ZI,2
00643.jpg,B005XWR5NA,1
00346.jpg,B013UJS35G,1
00304.jpg,B002JI3L84,4
00117.jpg,B004Q0PN0W,4
00642.jpg,B005XWR5NA,1
00440.jpg,B00RRV14BE,1
00094.jpg,B01ESRWRUG,5
00303.jpg,B002JI3L84,4
00464.jpg,B00EMS3ZSU,1
00117.jpg,B01E670AOS,1
00463.jpg,B01D8RFMOK,1
00439.jpg,B001L1RFPU,1
00973.jpg,B00EPD6UFM,1
00556.jpg,B00RDUWO6I,2
00081.jpg,B0073E3Q7A,7
00555.jpg,B003RWT31U,1
00642.jpg,B00ED3GU1I,3
00641.jpg,B01BNJL3KC,1
00080.jpg,B00PAXDQVM,1
00389.jpg,B01ARGBRGW,1
00875.jpg,B000RI6C7K,12
00305.jpg,B000KI8HKC,1
00876.jpg,B000RI6C7K,12
00340.jpg,B00IP27DFA,1
00686.jpg,B013UJS35G,1
00972.jpg,B00EPD6UFM,1
00556.jpg,B003RWT31U,1
00304.jpg,B002GALZCY,1
00963.jpg,B00EPD6UFM,1
00389.jpg,B00RTC23FM,1
00175.jpg,B0016AZGM0,1
